framenum,time,skier,centrex,centrey,safe
109,7.266666666666667,5,357,673,False
110,7.333333333333333,0,382,154,False
110,7.333333333333333,1,530,149,False
110,7.333333333333333,2,548,262,True
110,7.333333333333333,3,560,282,True
110,7.333333333333333,4,397,575,True
110,7.333333333333333,5,357,673,False
111,7.4,0,382,155,False
111,7.4,1,531,149,False
111,7.4,2,547,265,True
111,7.4,3,559,282,True
111,7.4,4,395,578,False
111,7.4,5,357,673,False
112,7.466666666666667,0,382,154,False
112,7.466666666666667,1,531,148,False
112,7.466666666666667,2,546,266,True
112,7.466666666666667,3,559,283,True
112,7.466666666666667,4,394,579,False
112,7.466666666666667,5,357,673,False
113,7.533333333333333,0,382,155,False
113,7.533333333333333,1,531,148,False
113,7.533333333333333,2,544,267,True
113,7.533333333333333,3,557,283,True
113,7.533333333333333,4,392,582,False
113,7.533333333333333,5,357,673,False
114,7.6,0,382,154,False
114,7.6,1,531,148,False
114,7.6,2,543,270,True
114,7.6,3,556,283,True
114,7.6,4,390,585,False
114,7.6,5,357,673,False
115,7.666666666666667,0,382,155,False
115,7.666666666666667,1,531,149,False
115,7.666666666666667,2,542,271,True
115,7.666666666666667,3,555,284,True
115,7.666666666666667,4,390,586,False
115,7.666666666666667,5,357,673,False
116,7.733333333333333,0,382,154,False
116,7.733333333333333,1,531,148,False
116,7.733333333333333,2,540,273,True
116,7.733333333333333,3,555,284,True
116,7.733333333333333,4,388,589,False
116,7.733333333333333,5,357,673,False
117,7.8,0,382,154,False
117,7.8,1,531,148,False
117,7.8,2,540,274,True
117,7.8,3,554,285,True
117,7.8,4,387,591,False
117,7.8,5,357,673,False
118,7.866666666666666,0,382,154,False
118,7.866666666666666,1,531,148,False
118,7.866666666666666,2,539,276,True
118,7.866666666666666,3,553,286,True
118,7.866666666666666,4,385,594,False
118,7.866666666666666,5,357,673,False
119,7.933333333333334,0,382,154,False
119,7.933333333333334,1,531,148,False
119,7.933333333333334,2,537,279,True
119,7.933333333333334,3,552,287,True
119,7.933333333333334,4,383,597,False
119,7.933333333333334,5,357,673,False
120,8.0,0,382,154,False
